高中英语单词表
brush  n.刷子;轻碰;小冲突vt.刷vi.(against)触到 
brown  a.&n.棕色的；褐色的；棕色；褐色 
brotherly  a.兄弟般的 
brotherhood  n.手足情谊，兄弟关系；同业，同僚 
brother  n.兄弟；同胞；教友；同事 
broom  n.扫帚 vt.扫除，用扫帚扫 
broken  a.破的；断断续续的；未履行的；不完善的 
broadcaster  n.播音员 
broadcast  n.广播，广播节目 v.(用无线电或电视)广播 
broad  a.宽的；宽容的；粗略的，概括性的；敞开的 
British  a.(大)不列颠(人)的，英国(人)的 n.英国人 
Britain  n.英国；不列颠(英格兰、威尔士和苏格兰) 
bring  v.拿来，带来；产生，引起；使处于某种状态 
brightly  adv.明亮地；闪亮地 
bright  a.明亮的，睛朗的；职敏的，机灵的；欢快的 
brief  a.简要的，简短的 vt.简要介绍情况 n.指示 
bridge  n.桥；桥牌；鼻梁 vt.架桥；渡过 
brick  n.砖块，砖；v.用砖围砌，用砖填补 
breathe  n.呼吸，低声说出；发出(气味等) 
breath  n.气息，呼吸的空气；呼吸；微风 
breast  n.胸脯，乳房；胸部 vt.挺胸迎…而上 
breakfast  n.早餐 v.(给某人)吃早餐 
break  vt.打破；中止；违反 vi.破(裂) n.休息时间 
bread  n.面包；生计，谋生之道 
brave  a.勇敢的 v.勇敢地面对(危险等) 
branch  n.树枝，分枝；(机构的)分部；(学科的)分科 
brake  n.制动器，车闸，刹车 vi.刹车；放慢速度 
brain  n.脑；脑髓，脑浆；[pl.]头脑，智力，智慧 
boyhood  n.少年时代(期) 
boyfriend  *n.男朋友 
boy  n.男孩子，儿子；男性服务员 
boxing  n．拳击(运动) 
box  n.盒，箱；包厢 v.把…装箱；拳击，打耳光 
bowl  n.碗，钵；碗状物，盆 
bow  n.弓，弓形物n.鞠躬v.鞠躬，低头；压弯 
bottom  n.底；末尾；臀部a.最低的vi.(out)达最低点 
bottle  n.瓶子；一瓶(的量) vt.把…装入瓶内 
both  prep.两者(都)，双方(都） adj.两个..(都) 
botany  *n.植物；植物学 
